julianDate,iDigBioUUID,family,month,year,concatDate,log,imageURI,iPlantGUID,latitude,scientificName,specificEpithet,location,max,collectionCode,date,day,thumbnailURI,url,longitude,l2,l3,l1,genus,julianDay,mean,index,1_CWSs,2_CWSs,3_CWSs,4_CWSs,5_CWSs,6_CWSs,7_CWSs,8_CWSs,9_CWSs,10_CWSs,dly_date,dly_maxt,dly_mint,dly_avgt,dly_pcpn,dly_id_use,dailyDistance_KM,mly_date,mly_maxt,mly_maxt_nmppm,mly_mint,mly_mint_nmppm,mly_avgt,mly_avgt_nmppm,mly_pcpn,mly_pcpn_nmppm,mly_id_use,monthlyDistance_KM
1897108,4e569175-209c-4cfb-acb9-b9daa091c193,Pinaceae,4,1897,1897-04-18,0.951013539,"http://bovary.iplantcollaborative.org/image_service/image/00-NyF8KwT4b4RtYG2KEbivDn?rotate=guess&resize=1250&format=jpeg,quality,90",00-NyF8KwT4b4RtYG2KEbivDn,41.3431688,Pinus strobus,strobus,"United States of America, Massachusetts, Dukes County, Chilmark",9.98,NEBC,1897-04-18,18,"http://bovary.iplantcollaborative.org/image_service/image/00-NyF8KwT4b4RtYG2KEbivDn?rotate=guess&resize=150&format=jpeg,quality,90",629547,-70.7447501,9.98,8.27,8.55,Pinus,108,8.933333333,0,8932,40858,8937,8927,,,,,,,1946-08-13,80,57,68.5,0.00,8927.0,4.154,1946-08,83,0,50,0,66.52,0,13.84,0,8927.0,4.154
1917167,41153a42-6778-4fdc-adb3-f5224d076e21,Pinaceae,6,1917,1917-06-16,0.908485019,"http://bovary.iplantcollaborative.org/image_service/image/00-B4M3owWedN4WRAXHK8iHWU?rotate=guess&resize=1250&format=jpeg,quality,90",00-B4M3owWedN4WRAXHK8iHWU,41.4558899,Pinus strobus,strobus,"United States of America, Massachusetts, Dukes County, Tisbury",8.97,NEBC,1917-06-16,16,"http://bovary.iplantcollaborative.org/image_service/image/00-B4M3owWedN4WRAXHK8iHWU?rotate=guess&resize=150&format=jpeg,quality,90",629524,-70.6141097,6.41,8.97,8.92,Pinus,167,8.1,1,8932,40858,8937,8927,8943.0,8950.0,37190.0,,,,1914-12-04,M,M,M,M,8958.0,10.687,1914-12,M,31,M,31,M,31,M,31,8958.0,10.687
1917167,a197f8b3-b982-4cdb-9828-d17e3ac5f829,Pinaceae,6,1917,1917-06-16,0.829946696,"http://bovary.iplantcollaborative.org/image_service/image/00-F9JPEM9YQP7tMNtAMnKiRL?rotate=guess&resize=1250&format=jpeg,quality,90",00-F9JPEM9YQP7tMNtAMnKiRL,41.4558899,Pinus strobus,strobus,"United States of America, Massachusetts, Dukes County, Tisbury",7.29,GH,1917-06-16,16,"http://bovary.iplantcollaborative.org/image_service/image/00-F9JPEM9YQP7tMNtAMnKiRL?rotate=guess&resize=150&format=jpeg,quality,90",629548,-70.6141097,7.29,6.7,6.29,Pinus,167,6.76,2,8932,40858,8937,8927,8943.0,8950.0,37190.0,,,,1907-07-18,84,70,77.0,0.00,8949.0,6.329,1907-07,88,0,56,0,70.13,0,0.62,0,8949.0,6.329
1946225,0f1407f5-7229-4c7b-8e24-13a8d6f0f522,Pinaceae,8,1946,1946-08-13,0.875832657,http://portal.neherbaria.org/imglib/cnh/UConn_CONN/CONN00012/CONN00012496.jpg,,41.5532208,Pinus strobus Linnaeus,strobus,"United States of America, Massachusetts, Barnstable County, Falmouth",8.41,CONN,1946-08-13,13,http://portal.neherbaria.org/imglib/cnh/UConn_CONN/CONN00012/CONN00012496_tn.jpg,CONN00012496,-70.6085886,7.05,8.41,7.08,Pinus,225,7.513333333,3,8937,8943,40858,8950,8932.0,37190.0,8927.0,8958.0,,,1919-08-21,78,53,65.5,0.00,8958.0,7.475,1919-08,87,0,48,0,66.45,0,6.49,0,8958.0,7.475
1914338,e9773b0f-d1fd-45cf-bced-85df39919505,Pinaceae,4,1914,1914-12-04,0.898176483,"http://bovary.iplantcollaborative.org/image_service/image/00-FqyfwCdxK6rN2oqWrAnXj6?rotate=guess&resize=1250&format=jpeg,quality,90",00-FqyfwCdxK6rN2oqWrAnXj6,41.697719,Pinus strobus,strobus,"United States of America, Massachusetts, Plymouth County, Marion",8.3,NEBC,1914-04-12,12,"http://bovary.iplantcollaborative.org/image_service/image/00-FqyfwCdxK6rN2oqWrAnXj6?rotate=guess&resize=150&format=jpeg,quality,90",629537,-70.7525299,7.51,8.3,7.92,Pinus,338,7.91,5,8958,8943,37225,37242,8962.0,8937.0,8959.0,40858.0,9175.0,8950.0,1919-08-21,78,53,65.5,0.00,8958.0,7.475,1919-08,87,0,48,0,66.45,0,6.49,0,8958.0,7.475
1907199,22bfe956-9a0b-42ae-97ca-270f751bc0aa,Pinaceae,7,1907,1907-07-18,0.905256049,"http://bovary.iplantcollaborative.org/image_service/image/00-hi8GhT2YCLMUikGkJio7zG?rotate=guess&resize=1250&format=jpeg,quality,90",00-hi8GhT2YCLMUikGkJio7zG,41.7056291,Pinus strobus,strobus,"United States of America, Massachusetts, Barnstable County, Yarmouth",8.15,NEBC,1907-07-18,18,"http://bovary.iplantcollaborative.org/image_service/image/00-hi8GhT2YCLMUikGkJio7zG?rotate=guess&resize=150&format=jpeg,quality,90",629546,-70.2286681,8.12,7.85,8.15,Pinus,199,8.04,4,8947,37259,8949,37231,37180.0,37190.0,60.0,35041.0,,,1919-07-30,M,M,M,M,37231.0,0.981,1919-07,M,31,M,31,M,31,M,31,37231.0,0.981
1919233,c7593ed2-f206-4fbf-b036-03093617a002,Pinaceae,8,1919,1919-08-21,0.842193049,"http://bovary.iplantcollaborative.org/image_service/image/00-7kpWGScK8FRbzGBKDYgyD6?rotate=guess&resize=1250&format=jpeg,quality,90",00-7kpWGScK8FRbzGBKDYgyD6,41.7412773,Pinus strobus,strobus,"United States of America, Massachusetts, Barnstable County, Bourne",7.21,NEBC,1919-08-21,21,"http://bovary.iplantcollaborative.org/image_service/image/00-7kpWGScK8FRbzGBKDYgyD6?rotate=guess&resize=150&format=jpeg,quality,90",629544,-70.5989325,6.82,7.21,6.83,Pinus,233,6.953333333,6,8958,8956,8950,35041,8943.0,8962.0,37231.0,8937.0,37190.0,9175.0,,,,,,,,,,,,,,,,,,
1919233,a2b52f84-13cc-42e4-9c4c-7faf9187296f,Pinaceae,8,1919,1919-08-21,0.795648332,"http://bovary.iplantcollaborative.org/image_service/image/00-NXsCdhxzhTXXwde9AhKiFf?rotate=guess&resize=1250&format=jpeg,quality,90",00-NXsCdhxzhTXXwde9AhKiFf,41.7412773,Pinus strobus,strobus,"United States of America, Massachusetts, Barnstable County, Bourne",6.93,GH,1919-08-21,21,"http://bovary.iplantcollaborative.org/image_service/image/00-NXsCdhxzhTXXwde9AhKiFf?rotate=guess&resize=150&format=jpeg,quality,90",629543,-70.5989325,5.55,6.93,6.26,Pinus,233,6.246666667,7,8958,8956,8950,35041,8943.0,8962.0,37231.0,8937.0,37190.0,9175.0,,,,,,,,,,,,,,,,,,
1919211,46924783-3eae-416a-9014-5bd5a273e445,Pinaceae,7,1919,1919-07-30,0.901094895,"http://bovary.iplantcollaborative.org/image_service/image/00-NATSa6cosrMigpLAyYNueN?rotate=guess&resize=1250&format=jpeg,quality,90",00-NATSa6cosrMigpLAyYNueN,41.7589615,Pinus strobus,strobus,"United States of America, Massachusetts, Barnstable County, Sandwich",8.54,NEBC,1919-07-30,30,"http://bovary.iplantcollaborative.org/image_service/image/00-NATSa6cosrMigpLAyYNueN?rotate=guess&resize=150&format=jpeg,quality,90",629545,-70.4939317,7.79,8.54,7.56,Pinus,211,7.963333333,8,8956,35041,37231,8950,37190.0,8958.0,8943.0,8949.0,8947.0,8962.0,,,,,,,,,,,,,,,,,,
