image_url,genus,date,location
http://citsci.s3.amazonaws.com/nevp/NEBC00461523.jpg,Vaccinium,1894-09-11,"Jordan Mountain, Maine"
http://citsci.s3.amazonaws.com/nevp/NEBC00461524.jpg,Vaccinium,1895-08-30,"Mt. Desert Island, Maine"
http://citsci.s3.amazonaws.com/nevp/NEBC00461526.jpg,Vaccinium,1892-09-02,"Jordan Mt., Maine"
http://citsci.s3.amazonaws.com/nevp/NEBC00461527.jpg,Vaccinium,1892-09-02,"Jordan Mt., Maine"
http://citsci.s3.amazonaws.com/nevp/NEBC00461528.jpg,Vaccinium,1888-06-09,"Mount Desert Island, Maine"
http://citsci.s3.amazonaws.com/nevp/NEBC00461530.jpg,Vaccinium,1890-06-17,"Mount Desert Island, Maine"
http://citsci.s3.amazonaws.com/nevp/NEBC00461536.jpg,Vaccinium,1892-08-30,"Mount Desert Island, Maine"
http://citsci.s3.amazonaws.com/nevp/NEBC00461529.jpg,Vaccinium,1889-08-17,"Southwest Harbor, Maine"
http://citsci.s3.amazonaws.com/nevp/NEBC00461532.jpg,Vaccinium,1888-06-06,"Beech Hill, Maine"
http://citsci.s3.amazonaws.com/nevp/NEBC00461535.jpg,Vaccinium,1891-09-13,"Seal Harbor, Maine"
http://citsci.s3.amazonaws.com/nevp/NEBC00461540.jpg,Vaccinium,1892-09-02,"Jordan, Maine"
http://citsci.s3.amazonaws.com/nevp/NEBC00461556.jpg,Vaccinium,1894-08-02,"Southport, Maine"
http://citsci.s3.amazonaws.com/nevp/NEBC00461557.jpg,Vaccinium,1894-08-02,"Southport, Maine"
http://citsci.s3.amazonaws.com/nevp/NEBC00461570.jpg,Vaccinium,1896-07-24,"Livermore, Maine"
http://citsci.s3.amazonaws.com/nevp/NEBC00461587.jpg,Vaccinium,1893-05-28,"South Poland, Maine"
http://citsci.s3.amazonaws.com/nevp/NEBC00461601.jpg,Vaccinium,1892-05-29,"Brunswick, Maine"
http://citsci.s3.amazonaws.com/nevp/NEBC00461608.jpg,Vaccinium,1895-05-25,"Cape Porpoise, Maine"
http://citsci.s3.amazonaws.com/nevp/NEBC00461670.jpg,Vaccinium,1896-07-07,"Whitefield, New Hampshire"
http://citsci.s3.amazonaws.com/nevp/NEBC00461786.jpg,Vaccinium,1895-05-23,"Johnson, Vermont"
http://citsci.s3.amazonaws.com/nevp/NEBC00461808.jpg,Vaccinium,1890-05-18,"Providence, Rhode Island"
http://citsci.s3.amazonaws.com/nevp/NEBC00461810.jpg,Vaccinium,1879-05-19,"Salisbury, Vermont"
http://citsci.s3.amazonaws.com/nevp/NEBC00461818.jpg,Vaccinium,1897-08-01,"Mendon, Vermont"
http://citsci.s3.amazonaws.com/nevp/NEBC00461844.jpg,Vaccinium,1896-05-14,"Arlington, Massachusetts"
http://citsci.s3.amazonaws.com/nevp/NEBC00463099.jpg,Vaccinium,1884-05-12,"Beacon Falls, Connecticut"
http://citsci.s3.amazonaws.com/nevp/NEBC00463100.jpg,Vaccinium,1876-05-27,"New Haven, Connecticut"
http://citsci.s3.amazonaws.com/nevp/NEBC00463101.jpg,Vaccinium,1899-07-30,"Oxford, Connecticut"
http://citsci.s3.amazonaws.com/nevp/NEBC00463103.jpg,Vaccinium,1823-05-28,"Canaan, Connecticut"
http://citsci.s3.amazonaws.com/nevp/NEBC00463109.jpg,Vaccinium,1898-05-16,"Trumbull, Connecticut"
http://citsci.s3.amazonaws.com/nevp/NEBC00463110.jpg,Vaccinium,1898-05-16,"Trumbull, Connecticut"
